Alice,Bob,Eve1-Alice,Eve1-Bob,Alice_Filtered,Bob_Filtered,Eve1-Alice_Filtered,Eve1-Bob_Filtered
-80,-79,-31,-83,-79.0049751243781,-78.0049751243781,-30.00497512437811,-82.0049751243781
-80,-80,-33,-81,-79.15056818181817,-78.29688920454545,-30.443210227272726,-81.85792613636363
-79,-79,-32,-78,-79.11967859943215,-78.38247537082096,-30.556097032165653,-81.07005325175625
-76,-76,-33,-83,-78.29294582578264,-78.009028753632,-30.768108791299607,-81.18148903844059
-76,-76,-34,-81,-78.10388757955192,-77.79566812497532,-31.018421556881016,-81.17013792446329
-76,-76,-33,-81,-77.95450511723014,-77.62601179340562,-31.139392858335874,-81.15727777840651
-76,-76,-32,-81,-77.82401963813307,-77.47990004046773,-31.193520566933152,-81.14363415725296
-75,-76,-34,-85,-77.64019808504726,-77.34982969332515,-31.388504817357838,-81.51370578362757
-76,-76,-34,-86,-77.54834114136756,-77.232133100711,-31.55160297883428,-81.79229758936201
-76,-76,-31,-85,-77.45906697392996,-77.12470465775266,-31.51916736624511,-81.93391798476526
-76,-76,-30,-83,-77.37253722229335,-77.02618811991113,-31.423111531351985,-81.97788711443947
-76,-76,-34,-81,-77.28889726622438,-76.93562641026466,-31.58937231806827,-81.93447932810953
-77,-76,-32,-82,-77.27082594917879,-76.85229122625745,-31.614249094506654,-81.9375838346157
-77,-76,-33,-82,-77.25282761677326,-76.77559294599563,-31.70265271976075,-81.94075408283739
-77,-76,-32,-82,-77.2351285128704,-76.70503018420881,-31.721895857396287,-81.94395170597704
-76,-77,-32,-82,-77.14470603987496,-76.73217031902223,-31.740629144084515,-81.94714176335121
-76,-76,-32,-82,-77.0604387681173,-76.66314842047062,-31.758710944023107,-81.95029345199006
-76,-76,-33,-83,-76.98173688197215,-76.60023959178281,-31.84783863002404,-82.01548574438876
-76,-76,-33,-82,-76.90814670520521,-76.54286519611694,-31.930667408484382,-82.01450457922581
-76,-77,-30,-81,-76.8393055032598,-76.58693478023606,-31.791421631922972,-81.94810964146946
-76,-76,-30,-82,-76.77491219611821,-76.52967957037393,-31.66663360192142,-81.95155352910665
-76,-76,-30,-82,-76.7147079297522,-76.47768380529513,-31.553214016603018,-81.95485407370927
-75,-76,-31,-82,-76.57976661646885,-76.43043587558196,-31.516126471096786,-81.9580021098063
-76,-76,-32,-82,-76.53566438092591,-76.38749689138398,-31.54921382607911,-81.96099202089036
-77,-76,-32,-82,-76.57164680509068,-76.34848319337983,-31.58061764485108,-81.9638212013254
-77,-77,-31,-82,-76.60547127158237,-76.41472039702613,-31.539471553544615,-81.96648953746559
-80,-79,-32,-83,-76.87826096479567,-76.67783854691638,-31.572553507441743,-82.04388269114408
-79,-79,-34,-82,-77.02123971973731,-76.87780337842275,-31.749382310819364,-82.0406005745163
-77,-77,-31,-82,-77.01985902848357,-76.88735431841846,-31.6980743946455,-82.0375217391601
-76,-76,-33,-82,-76.95138355166871,-76.815527689921,-31.788325643392042,-82.03463985904405
-77,-76,-31,-82,-76.95469529265833,-76.74855230955761,-31.733831240370275,-82.03194755315332
-76,-76,-31,-81,-76.88784357880012,-76.68612675901844,-31.682563229725844,-81.95084402943642
-76,-76,-31,-82,-76.82490694526797,-76.62799677645168,-31.634362333953437,-81.95469017992835
-76,-77,-31,-90,-76.76568090017639,-76.66001928920167,-31.589079791311164,-82.59118708164603
-76,-76,-30,-88,-76.70998550752158,-76.6019913643536,-31.474420403562096,-82.81801311582106
-76,-76,-32,-85,-76.65765779302485,-76.54837654655645,-31.511768865302905,-82.89686341421809
-76,-76,-30,-81,-76.60854639364366,-76.49888726271341,-31.402973203056696,-82.82685204733124
-76,-76,-30,-82,-76.56250784205552,-76.45326227627424,-31.303159073704883,-82.79553369405869
-76,-76,-32,-81,-76.51940405277132,-76.41125921535367,-31.352414448171793,-82.72474196647308
-76,-76,-30,-81,-76.47910069323565,-76.37264976533972,-31.255787816425606,-82.65518412918746
-76,-76,-31,-81,-76.44146620355059,-76.33721668975016,-31.237599617281525,-82.58694496961023
-76,-76,-30,-81,-76.40637128557262,-76.30475209285362,-31.14826888278646,-82.52010470704126
-76,-76,-31,-82,-76.37368872411555,-76.27505650713015,-31.13758739732201,-82.49773946610776
-76,-76,-30,-81,-76.34329343478005,-76.24793850782291,-31.05442917157657,-82.4313117490189
-76,-76,-31,-81,-76.31506265759286,-76.2232146429177,-31.050450267350385,-82.36666617333388
-76,-76,-30,-81,-76.28887623511466,-76.2007095302123,-30.97258500382964,-82.30383971379129
-76,-76,-31,-82,-76.26461692921553,-76.1802560201285,-30.974619960897556,-82.28963026600587
-76,-76,-32,-82,-76.24217074316003,-76.16169535776895,-31.05173180145529,-82.27574374168368
-76,-76,-31,-82,-76.22142722557467,-76.14487730333178,-31.04783650105716,-82.26221298594857
-76,-76,-31,-81,-76.20227974072894,-76.12966018848981,-31.044189924941318,-82.19892448898389
-76,-76,-31,-81,-76.18462569568945,-76.11591089934625,-31.040782069785585,-82.13806590194237
-76,-77,-31,-81,-76.16836671959447,-76.21053625554231,-31.037602381401932,-82.07959059526465
-76,-76,-31,-81,-76.15340879378847,-76.18814294787222,-31.03463996937146,-82.02345236322617
-76,-76,-33,-81,-76.13966233406941,-76.16793691345053,-31.191016906370237,-81.96960463187374
-76,-76,-31,-81,-76.12704222802397,-76.14973044995098,-31.176269246296428,-81.91799989871178
-77,-76,-33,-81,-76.20657451849962,-76.1333484825795,-31.318713863853954,-81.8685893609254
-76,-76,-31,-81,-76.18778891751658,-76.11862816262983,-31.294353577613187,-81.82132269647217
-76,-76,-31,-81,-76.1705687964545,-76.10541843568909,-31.271584292046814,-81.7761479682362
-75,-74,-31,-81,-76.06234930628737,-75.86897251175486,-31.250337544271822,-81.73301162610568
-77,-77,-33,-82,-76.1482089040508,-75.98669206061733,-31.38869049108436,-81.74800099729894
-76,-76,-31,-82,-76.13466121004603,-75.98806794847778,-31.358520688834616,-81.76232120776989
-76,-76,-31,-83,-76.12223053068253,-75.98932251029107,-31.33038921776991,-81.83346416665344
-76,-76,-33,-83,-76.11084164426927,-75.99046207833446,-31.462755349646976,-81.90076226671954
-76,-76,-33,-82,-76.10042162724979,-75.99149377313182,-31.58280411627901,-81.9065122025767
-75,-75,-31,-81,-75.99608750076759,-75.88293525389723,-31.537716486064728,-81.85342452717323
-77,-76,-31,-80,-76.09059271612858,-75.89567173738538,-31.495709625367873,-81.7442098621582
-76,-76,-31,-83,-76.08209338075665,-75.90715617893119,-31.456615780678014,-81.81772359080443
-76,-77,-31,-82,-76.07431550430147,-76.02875518107304,-31.42027246661637,-81.82842423649646
-76,-76,-32,-82,-76.06720927358285,-76.02558975661175,-31.466827622137952,-81.83859799107987
-76,-76,-32,-83,-76.06072624288358,-76.02274044404447,-31.509954127846125,-81.90812217155292
-76,-76,-33,-82,-76.05481978412631,-76.02018185154031,-31.631358441081055,-81.91363778874853
-76,-76,-34,-80,-76.04944539548778,-76.01788919399614,-31.822403725959653,-81.79771327157528
